,,Question,Réponse,
324,FAQ9-324,"Le massif central héberge un des rares vignobles n'ayant pas été touché par le mal (phylloxéra), Est-ce une piste?","Il est difficile de dire oui ou non à une piste, donc je vous conseille de l'étudier. Et puis vous verrez si elle donne quelque chose ou non.",https://youtu.be/9PSui6ZoY0I?t=4864
325,FAQ9-325,Est-ce qu'un détroit célèbre est dans la chasse?,"Je ne ferais pas de mauvais jeu de mots sur un des trois. Il y a plusieurs chemins possibles, au moins 3, mais seul l’un des trois serait le bon.",https://youtu.be/9PSui6ZoY0I?t=4879
326,FAQ9-326,"Pouvez-vous préciser ""voir apparaître"" de VITRIOL? Tombons nous pile dessus ou presque?","Sur le lieu familier vous voulez dire? Oui, vous tombez pile dessus. Voilà, ça ne sera pas une science parfaitement exacte, c'est comme le mal de l'énigme trois. Il y a une certaine tolérance d’un ou deux kilomètres, comme pour l'énigme trois. Mais sinon vous tombez vraiment pile dessus, c'est très précis.",https://youtu.be/9PSui6ZoY0I?t=4885
327,FAQ9-327,Votre lapsus de tout à l'heure en lisant “JerimadeT” en prononçant le T est-il une simple erreur de lecture ou bien me donne-t-il un indice?,Je ne commenterais pas. Je dirais que ça se prononce “JerimaDè”.,https://youtu.be/9PSui6ZoY0I?t=4918
328,FAQ9-328,Vous nous avez dit qu'on connaissait tous plus ou moins le personnage. Nous a-t-on parlé de lui à l'école?,"Là dessus, je ne pourrais pas trop m’étendre.",https://youtu.be/9PSui6ZoY0I?t=4973
329,FAQ9-329,La disposition du texte des énigmes n’est pas la même sur le parchemin papier et sur l'édition numérique. Est-ce normal?,"Il n'y a pas d'importance particulière. Sinon, on aurait mis la même disposition. Vous pouvez faire abstraction de ça.",https://youtu.be/9PSui6ZoY0I?t=4981
330,FAQ9-330,"Pour être dans le bon chemin, est-il important d’avoir des grains de folie pour trouver la pièce?","Il est important d’avoir le parfait fil rouge et de ne pas se laisser distraire, en effet, par des fausses pistes ou par des solutions qui pourrait sembler un peu [évidentes].",https://youtu.be/9PSui6ZoY0I?t=4993
331,FAQ9-331,"Est-ce que quelque chose doit rimer avec un ""Thie""? D’ailleurs c’est Ti ou Té?","Ça se prononce ""si"".",https://youtu.be/9PSui6ZoY0I?t=5012
332,FAQ9-332,Me conseillez-vous d’arrêter la chasse si je n’ai rien compris à l’indice?,"Ça me paraît impossible que vous n'ayez rien compris à l’indice. Donc je vous encourage à prendre ce que vous avez pu comprendre. Et puis si vous n'avez pas tout compris sur le moment, ça viendra peut-être au bout d'un moment. Ou en vous faisant aider par vos compétiteurs, vos amis compétiteurs.",https://youtu.be/9PSui6ZoY0I?t=5022
333,FAQ9-333,Le lieu familier peut être une chambre secrète?,Non.,https://youtu.be/9PSui6ZoY0I?t=5044
334,FAQ9-334,Les différents éléments de la charade ont-ils une particularité orthographique ou phonétique commune?,Non.,https://youtu.be/9PSui6ZoY0I?t=5049
335,FAQ9-335,Le personnage peut-il nous amener à un endroit pour revenir à ses origines?,"Oui, c'est une possibilité.",https://youtu.be/9PSui6ZoY0I?t=5055
336,FAQ9-336,Existe-t-il des répliques de la relique jusqu'à nos jours?,"Oui, il existe beaucoup de faux.",https://youtu.be/9PSui6ZoY0I?t=5062
337,FAQ9-337,L'illustratrice était-elle familière d'une célèbre maxime de chimie?,"Je ne sais pas à quelle maxime vous faites référence, mais l'illustratrice n'était pas familière avec la chimie, en tout cas.",https://youtu.be/9PSui6ZoY0I?t=5068
338,FAQ9-338,Le lierre de la connaissance a-t-il un lien avec le jardin d'Éden?,"Il ne s'agit pas de lien avec un, par exemple, un arbre de connaissance du bien et du mal. Donc je répondrai plutôt par la négative.",https://youtu.be/9PSui6ZoY0I?t=5079
339,FAQ9-339,"La chasse ayant été faite pour être internationale, est-ce qu'une personne à l'étranger aura autant de chances de connaître le personnage qu'une personne vivant en France?","Oui, la réponse est oui.
",https://youtu.be/9PSui6ZoY0I?t=5093
340,FAQ9-340,Y’a-t-il des anagrammes dans l’indice?,Je ne peux pas répondre à cette question.,https://youtu.be/9PSui6ZoY0I?t=5102
341,FAQ9-341,Est-ce que tous les noms qu’à utilisé le Comte le long de sa vie peuvent m’être utiles?,C'est une piste à explorer. Je ne pourrais pas vous dire si elle est utile ou non.,https://youtu.be/9PSui6ZoY0I?t=5119
342,FAQ9-342,"Est-ce qu’à la fin de la chasse, on pourrait avoir la méthodologie de conception de cette chasse, les grandes étapes?","Bien sûr, je ne dévoilerai peut être pas tout, mais j'expliquerai en détail la méthode de résolution et le détail des solutions vous sera communiqué, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=5126
343,FAQ9-343,La grosse difficulté de l'énigme cinq consiste-t-elle plutôt à trouver la bonne méthode de comparaison avec les données de l'énigme ou trouver la bonne pièce en elle-même?,"Je pense que trouver la pièce est l'une des premières difficultés du jeu. Des plus importantes, en tout cas. Et après l'énigme cinq en elle-même, parce qu'elle a plusieurs étapes est également l'une des plus difficiles.",https://youtu.be/9PSui6ZoY0I?t=5142
344,FAQ9-344,L'identité du Comte de Saint-Germain pourrait-elle avoir été volée ou empruntée?,"Oui, tout à fait. Énormément de personnes se sont faites passer pour le Comte de Saint-Germain.",https://youtu.be/9PSui6ZoY0I?t=5165
345,FAQ9-345,"Suis-je dans le vrai si j'affirme que l'arbre a un rapport avec le tonneau, un des pictos de l'énigme une?",Je n'en vois pas de prime abord. J'aurais plutôt tendance à dire non.,https://youtu.be/9PSui6ZoY0I?t=5173
346,FAQ9-346,Êtes-vous familier au concept d’images d'Epinal?,Oui. Il y a d'ailleurs pas mal d'images d'Épinal qui émaillent les visuels.,https://youtu.be/9PSui6ZoY0I?t=5191
347,FAQ9-347,Est-ce que les pictos cachant les lettres de l'énigme [un] ont d’autres significations et d’autres choses à nous apporter que seulement cacher des lettres?,"Evidemment, ils ne font pas que cacher des lettres. Je pense que ça aurait été un peu trop évident. Et encore, j'ai un peu lâché une info mais je pense que ça n'aura échappé à personne.",https://youtu.be/9PSui6ZoY0I?t=5197
348,FAQ9-348,Est-ce que le tonneau de l'énigme une aurait pu être une bouteille?,"Je n'en dirai pas plus que ce que j'ai dit dans les FAQs. A savoir que certains des pictogrammes n'auraient pas pu être changés, d'autres auraient pu être changés dans une certaine mesure avec des pictogrammes qui en auraient été proches.",https://youtu.be/9PSui6ZoY0I?t=5227
349,FAQ9-349,"Dans l'indice, il est écrit feu Jérimathée et pas feue or pour parler d’une ville même imaginaire on a tendance à employer le féminin, est-ce une erreur ou feu continue “déluge de”?","C’est une très bonne remarque pometflore et je suis heureux que vous ayez pu la noter. En effet, je pense que la remarque de pometflore est très intéressante. je vous inviterais à voir d’ailleurs qu’il n y a pas de majuscule à “feu” soit dit en passant.",https://youtu.be/9PSui6ZoY0I?t=5243
350,FAQ9-350,"Sans faire de promo, je peux affirmer que regarder les vidéos de unsolved peut aider a la chasse, je me trompe?","Je pense qu’on a fait quelques vidéos au tout début sur les principales méthodes de cryptographie, mais c'est une série qui est à compléter. Donc je ne ferais pas cette auto-promo. Pareil pour le grand angle “Chouette d’Or”, la chasse n’est pas calquée évidemment sur des chasses récentes contemporaines. Donc je pense que ça peut aussi induire en erreur d’avoir un prisme lié aux vidéos Unsolved.",https://youtu.be/9PSui6ZoY0I?t=5274
351,FAQ9-351,Le lierre est-il symbolisé dans l’une des illustrations?,"Là-dessus, je ne peux pas répondre.",https://youtu.be/9PSui6ZoY0I?t=5304
352,FAQ9-352,Pouvez-vous préciser ce qu’on peut voir à droite du serpent sur la pierre de l'illustration cinq?,Est-ce bien [un T?]. Je crois qu'il s'agit en effet d'un T qui est gravé dans la pierre.,https://youtu.be/9PSui6ZoY0I?t=5309
353,FAQ9-353,"Tiens toi à égale distance = Je me mets d’abord à égale distance et je dépense toutes mes pièces sans pour autant arriver à égale distance, ou bien dois-je arriver à égale distance?",Vous arrivez et vous serez à égale distance de deux lieux.,https://youtu.be/9PSui6ZoY0I?t=5320
354,FAQ9-354,"Les chansons à boire peuvent-elles véhiculer la vérité? Si oui, me conseillez-vous de boire de l'eau afin de noyer cette vérité?","Bien que j'aurais adoré utiliser certaines chansons à boire de certaines confréries bachiques, J'ai dû me refuser à le faire pour des questions de chasse internationale qui auraient rendu la chose bien trop complexe à mon grand regret.",https://youtu.be/9PSui6ZoY0I?t=5333
355,FAQ9-355,De nombreuses pièces ont une devise gravée sur une des faces. Est-ce le cas pour la nôtre?,Je ne peux pas vous répondre à cette question qui est un peu trop précise.,https://youtu.be/9PSui6ZoY0I?t=5353
356,FAQ9-356,Y’a-t-il un symbole qui peut représenter la chambre cachée dans l’une des illustrations?,"Oui, il y en a même... Je pense immédiatement à même plusieurs symboles, en effet.",https://youtu.be/9PSui6ZoY0I?t=5362
357,FAQ9-357,Et quid de boire de l'eau pour noyer la vérité?,L'eau a son importance dans le jeu parce qu'elle peut annuler un autre élément. Boire de l'eau en action en elle-même n'aurait pas grand intérêt par contre.,https://youtu.be/9PSui6ZoY0I?t=5372
358,FAQ9-358,"Certains symboles sur illustration cinq nous amènent à un certain ouvrage. Est-ce que dans cet ouvrage, c’est la partie textuelle ou la partie illustrée qui pourrait nous aiguiller? Ou bien les deux?",[Les deux],https://youtu.be/9PSui6ZoY0I?t=5383
359,FAQ9-359,"Dans l’énigme 3, la phrase latine commençant par X bestiae ne finit pas par un point. Or, la ligne suivante commence par Mise avec majuscule et donc suppose qu'on débute une nouvelle phrase. Vous aviez précisé que la ponctuation était importante. Pouvez-vous indiquer s'il s'agit d'une ou deux phrases?","Mise sur le bon cheval commence bien une nouvelle phrase. et X bestiae numerus X circuli inferni ne devait pas avoir de point à la fin pour une raison que... et bien... Pour ça, il faudrait comprendre, il faudrait avoir trouvé cette énigme et vous comprendriez pourquoi il y a une absence de point.",https://youtu.be/9PSui6ZoY0I?t=5466
360,FAQ9-360,Pourtant l'eau et le feu coexistent parfois ou plutôt le feu a précédé l'eau?,"Tout à fait. C’est le cas, c’est  deux des quatre éléments et selon les connotations, les mythologies, les religions ou les doctrines, leurs oppositions, ou au contraire leur complémentarité, peuvent se retrouver. Dans le cas de l'Élixir je pourrais évidemment pas être trop précis à sujet.",https://youtu.be/9PSui6ZoY0I?t=5501
361,FAQ9-361,Faut-il suivre les salamandres à un moment donné?,Non.,https://youtu.be/9PSui6ZoY0I?t=5529
362,FAQ9-362,"Ce T en graffiti sur l’illustration cinq est-il le miroir du T que l’on voit dans l’illustration deux, le support du tube à essai à côté du rapporteur, ce dernier fait-il partie du cahier des charges d’ailleurs?","Alors ça peut être intéressant, comme je l'ai dit ça ressemble à un T, mais ça peut être tout aussi bien une fente dans le mur qui ressemble étrangement  à un T, je vous l'accorde. En tout cas, je ne pourrais pas dire si c’est cette signification particulière ou une autre.",https://youtu.be/9PSui6ZoY0I?t=5545
363,FAQ9-363,La chambre cachée a-t-elle toujours été ou était-ce auparavant un lieu régulièrement visité?,"Non, elle ne l'a pas toujours été. Et en effet, auparavant, c'était un lieu régulièrement visité. Mais pour une période très précise.",https://youtu.be/9PSui6ZoY0I?t=5560
364,FAQ9-364,"À part l'énigme une, si je n'ai pas encore le fil rouge, et pour éviter de passer des jours sur une énigme sans avoir aucune chance de la résoudre, quelle énigme me conseilleriez-vous qui soit indépendante des résultats des autres?","Je vous conseillerais de commencer par l'énigme une, mais c’est évidemment l’énigme que vous avez choisi d'exclure. A part celle-là, c'est compliqué de vous répondre sans donner trop d'éléments. Je dirais, à défaut, la une ou la deux.",https://youtu.be/9PSui6ZoY0I?t=5573
365,FAQ9-365,"Pour trouver le secret du poème, ai-je raison de prendre en considération la définition du symbole des trois points?",Je ne pourrais pas dire à quel élément jeu le symbole des trois points peut faire référence et peut être utile.,https://youtu.be/9PSui6ZoY0I?t=5612
366,FAQ9-366,Le mal et l'œil des ténèbres sont-ils les mêmes?,Non.,https://youtu.be/9PSui6ZoY0I?t=5625
367,FAQ9-367,Ai-je raison de m'améliorer en français pour découper des syllabes?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=5628
368,FAQ9-368,[Êtes-vous satisfait des réactions et du niveau de compréhension des joueurs?]  (ndr: en parlant de l'indice un),"Je suis à peu près satisfait de ce que ça a pu débloquer parmi les joueurs. Et en effet, je trouve qu'il permet d'avoir plusieurs niveaux de lecture et de compréhension. Qui permettent tout simplement de récompenser les joueurs qui feront l'effort et qui auront la persévérance de s'acharner sur cet indice et d'en tirer la substantifique moëlle.",https://youtu.be/9PSui6ZoY0I?t=5634
369,FAQ9-369,"Pourtant, l'eau semble être, a priori et en apparence, la grande absente dans le parchemin, hormis dans l'énigme deux?",C’est votre interprétation. Je ne pense pas qu'elle soit si absente que ça.,https://youtu.be/9PSui6ZoY0I?t=5656
370,FAQ9-370,La chambre cachée possède-t-elle plusieurs répliques?,Pas à ma connaissance.,https://youtu.be/9PSui6ZoY0I?t=5667
371,FAQ9-371,Est-ce que thie est un instrument à tisser?,Non.,https://youtu.be/9PSui6ZoY0I?t=5689
372,FAQ9-372,L'épée est-elle la pelle?,Non.,https://youtu.be/9PSui6ZoY0I?t=5694
373,FAQ9-373,"Pour décrypter le poème, plusieurs séries de neuf lettres rouges peuvent être nécessaires?","Là-dessus, je peux pas vous répondre.",https://youtu.be/9PSui6ZoY0I?t=5696
374,FAQ9-374,Un président français a-t-il visité la chambre cachée?,"C'est fort possible. J'avoue que je ne sais pas. Je pourrais vous répondre après recherches, mais c'est possible. C'est même très fortement possible.",https://youtu.be/9PSui6ZoY0I?t=5703
375,FAQ9-375,"La grappe se trouve-t-elle uniquement avec l'énigme textuelle une ou bien un détail de l'illustration une, à priori, est-il nécessaire pour nous donner le déclic et la confirmation?",La grappe se trouve uniquement avec l’énigme textuelle une.,https://youtu.be/9PSui6ZoY0I?t=5716
376,FAQ9-376,La pierre est-elle dessinée dans la chambre cachée?,"Non, la pierre est extérieure à la chambre cachée. Vous allez la voir à travers la chambre cachée et ce que vous y trouvez.",https://youtu.be/9PSui6ZoY0I?t=5731
377,FAQ9-377,Quelqu'un a-t-il trouvé deux autres reliques via le sondage?,Les reliques correctes ont été citées dans le sondage.,https://youtu.be/9PSui6ZoY0I?t=5742
378,FAQ9-378,"Est-ce que dans X bestiae et cetera, les deux X ont la même valeur ou le même sens?",Les deux X bestiae X numerus ont le même sens.,https://youtu.be/9PSui6ZoY0I?t=5749
379,FAQ9-379,Si kv xx correspond à une date. Est-ce que j'ai raison?,Ça je n'en dirai pas plus.,https://youtu.be/9PSui6ZoY0I?t=5758
380,FAQ9-380,Peut-on dire que la grappe est hydratée?,"Oui, on peut dire que la grappe est hydratée quasiment tous les jours.",https://youtu.be/9PSui6ZoY0I?t=5774
381,FAQ9-381,Les deux X ont-ils un seul sens?,"Du coup, dans l’énigme textuelle trois en l'occurrence: oui.",https://youtu.be/9PSui6ZoY0I?t=5779
382,FAQ9-382,Est-ce que Pline le Jeune et Pline l'ancien peuvent avoir leurs places?,"Ils le peuvent, mais je ne pourrais pas vous confirmer sur des éléments cités, géographiques ou des personnages historiques. Ça serait dommageable. Ça éliminerait une piste de façon un peu inélégante. Et puis, si la piste est correcte, ça gâcherait le plaisir des personnes qui n'ont pas encore trouvé.",https://youtu.be/9PSui6ZoY0I?t=5785
383,FAQ9-383,D'où viennent ces 1776 pièces? Est-il important de le savoir?,Il est moins important de savoir d'où viennent les pièces que d'en connaître le nom.,https://youtu.be/9PSui6ZoY0I?t=5809
384,FAQ9-384,Est-ce que mes pièces peuvent être la subdivision d'une autre pièce?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=5818
385,FAQ9-385,Le O et le S font référence à un seul bonus pour la grappe ou bien y’a-t-il plusieurs bonus?,Il n'y a qu'un seul bonus pour la grappe.,https://youtu.be/9PSui6ZoY0I?t=5822
386,FAQ9-386,Existe-t-il des contrefaçons de la pièce?,"Sans doute, sans doute beaucoup.",https://youtu.be/9PSui6ZoY0I?t=5832
387,FAQ9-387,La grappe est-elle une création humaine? Elle l’est en grande majorité?,"Non, ce n'est pas une création humaine.",https://youtu.be/9PSui6ZoY0I?t=5836
388,FAQ9-388,1520 dans kv xx? J’ai bon ou je vais trop loin?,Je pense que vous allez un peu trop loin.,https://youtu.be/9PSui6ZoY0I?t=5842
389,FAQ9-389,Est-ce que 1776 nous aide à démasquer le prince des vignes?,Non.,https://youtu.be/9PSui6ZoY0I?t=5849
390,FAQ9-390,L'homme a-t-il créé des grappes?,"Oui, dans un sens général. Dans le cadre de l'Élixir, non. En tout cas, il a simplement contribué à les mettre en valeur en fait.",https://youtu.be/9PSui6ZoY0I?t=5855
391,FAQ9-391,"""Et l'autre le déluge"", qui est l'autre? Un autre doigt?","Oui, tout à fait. Il s'agit d’un autre doigt.",https://youtu.be/9PSui6ZoY0I?t=5864
392,FAQ9-392,"Dans le coup de pouce, trois grappes en or perchées peuvent-elles faire référence à trois événements bien précis?",Non.,https://youtu.be/9PSui6ZoY0I?t=5869
393,FAQ9-393,L'homme a-t-il détruit des grappes?,L'homme n'a pas détruit la grappe de raisins qui est toujours bien vivante et bien visible de nos jours.,https://youtu.be/9PSui6ZoY0I?t=5878
394,FAQ9-394,Est-ce qu'il a détruit d'autres grappes? (ndr: l'homme),"Je ne pense pas. Non. Je ne connais pas d'épisodes, en tout cas célèbres à ce sujet.",https://youtu.be/9PSui6ZoY0I?t=5888
395,FAQ9-395,"Si je parlais oiseau, comprendrais-je ou trouverais-je un sens caché dans l’indice?","Là-dessus, je ne vais pas vous aiguiller sur un disque qui est déjà assez complet. Donc à vous d'en faire ce que vous souhaitez. Je peux uniquement vous aiguiller sur des éléments qui seraient sibyllins, ou à préciser. Pour qu'il n'y ait pas d'erreur de compréhension un peu dommageable. Mais je ne vais pas vous donner des clés de lecture sur l’indice.",https://youtu.be/9PSui6ZoY0I?t=5896
396,FAQ9-396,La grappe [est vivante]?,"Oui, la grappe peut être considérée comme vivante.",https://youtu.be/9PSui6ZoY0I?t=5925
397,FAQ9-397,"Dans l’indice, les doigts sont-ils à comparer à l’aiguille d'une boussole?",Je ne pourrais pas répondre là-dessus.,https://youtu.be/9PSui6ZoY0I?t=5932
398,FAQ9-398,"Si je parcours la grappe, puis-je marcher pendant plusieurs kilomètres?",Oui.,https://youtu.be/9PSui6ZoY0I?t=5938
399,FAQ9-399,Les hommes pourraient-ils détruire des grappes?,"Oui, ils pourraient.",https://youtu.be/9PSui6ZoY0I?t=5942
400,FAQ9-400,Le prince des vignes est-il tombé amoureux du côté de Saint-Estèphe?,Je ne sais pas.,https://youtu.be/9PSui6ZoY0I?t=5945
401,FAQ9-401,"Sur le visuel quatre, j'ai l'impression que quelque chose se cache sous le tapis en plus des marches évidemment. Ai-je la berlue?","Non. Non, vous n’avez pas la berlue.",https://youtu.be/9PSui6ZoY0I?t=5950
402,FAQ9-402,"Dans les visuels, faut-il s'attarder sur les traits des halos ou est-ce juste esthétique?","Là-dessus, je passe.",https://youtu.be/9PSui6ZoY0I?t=5960
403,FAQ9-403,"Au delà des approximations des cartes de l’illustration une, le cahier des charges demandait-il d’y rajouter au moins un détail faux versus la géographie communément admise?","Alors non, il n'a pas été demandé de rajouter de faux détails. Par contre, les tracés, en tout cas les éléments géographiques figurant sur les cartes, faisaient partie du cahier des charges ainsi qu’un autre symbole.",https://youtu.be/9PSui6ZoY0I?t=5967
404,FAQ9-404,Si les hommes peuvent en détruire alors ils l'ont fait à mon avis malheureusement. (ndr : détruire des grappes),"Je réfléchi s'il y a eu des cas dans l’histoire. A moins qu'il y ait eu des grappes à Hiroshima ou Nagasaki, je ne pense pas que ce soit déjà arrivé.",https://youtu.be/9PSui6ZoY0I?t=5987
405,FAQ9-405,"En FAQ 7, à ma question ""La grappe est-elle soumise a l’érosion?"" Vous m'aviez répondu “peut-être un peu”. Cette réponse n'était-elle pas minorée?","Je peux vous le répéter, la grappe est soumise en effet à une érosion avec le temps.",https://youtu.be/9PSui6ZoY0I?t=5998
406,FAQ9-406,"Je reviens sur kv xx, je vais trop loin dans la date ou ce n'est pas une date?","Là-dessus, je ne donnerais pas de clés de lecture.",https://youtu.be/9PSui6ZoY0I?t=6011
407,FAQ9-407,"Question de vrai débutant dans la chasse: les illustrations se trouvent dans quel sens? Gauche, droite, je descends ou haut, bas?","Dans leur présentation, elles se lisent de gauche à droite, que ce soit sur version numérique ou sur la version papier. Après leur sens à interpréter par rapport au texte c'est à vous de le déterminer. Je ne pourrais pas donner de précisions autres que celles données par le parchemin.",https://youtu.be/9PSui6ZoY0I?t=6018
408,FAQ9-408,Les deux cartes du visuel un ont-elles la même échelle?,"Non, elles n'ont pas la même échelle. La carte numéro deux, on va dire, est un zoom plus fort à une échelle donc plus petite que la carte numéro un.",https://youtu.be/9PSui6ZoY0I?t=6041
409,FAQ9-409,Est-ce que la grappe est de matière végétale? Ou en grande partie?,Oui.,https://youtu.be/9PSui6ZoY0I?t=6069
410,FAQ9-410,"Les cartes du jeu du Faro sont-elles à identifier cœur, carreau? Et l'attitude des personnages par rapport à ces cartes sont-elles importantes?","Non, n'avez pas besoin d'identifier la couleur des cartes. Faut simplement vous dire que c'est du trèfle ou du pique. Vous n'avez pas besoin de savoir spécifiquement si c'est trèfle ou pique.",https://youtu.be/9PSui6ZoY0I?t=6073
411,FAQ9-411,Faut-il avancer une ou plusieurs pièces sur l'échiquier et donc jouer face au personnage?,"Je ne répondrais pas sur à quel point il faut jouer la partie. Je peux simplement dire qu'il y a un coup à jouer, au moins un coup à jouer qui aura une importance capitale.",https://youtu.be/9PSui6ZoY0I?t=6095
412,FAQ9-412,Puis-je m'attendre à des confirmations de même nature que celle pour le bonus de la grappe ailleurs dans le parchemin? Une confirmation visuelle pour le bonus?,Y'a énormément de confirmations dans les visuels si c’est la question. Y’a des cryptos dans les visuels. Il y a des éléments cachés dans les visuels. Et les visuels apportent des confirmations à des cryptos des textes. Donc il y en a de façon suffisamment nombreuse pour que je puisse vous dire que vous en trouverez forcément.,https://youtu.be/9PSui6ZoY0I?t=6110
413,FAQ9-413,La première relique a-t-elle dû être malheureusement délogée il y a moins de dix ans?,"Oui, la réponse est oui.",https://youtu.be/9PSui6ZoY0I?t=6134
414,FAQ9-414,Est-il possible que les 1776 pièces ne soient pas des pièces de monnaie?,"Non, les 1776 pièces sont bien des pièces de monnaie.",https://youtu.be/9PSui6ZoY0I?t=6152
415,FAQ9-415,Le poème n'est il pas une progression chronologique?,C'est possible.,https://youtu.be/9PSui6ZoY0I?t=6161
416,FAQ9-416,"En FAQ 3, vous parliez de grille de lecture plutôt que de clé de passage, est-ce à nous de d'élaborer cette grille ou bien est-elle présente dans le parchemin?","Il y a même plusieurs grilles de lecture. Pas qu'une seule. Il y en a qui se trouvent dans le parchemin et d'autres, en effet, c'est à vous de les élaborer.",https://youtu.be/9PSui6ZoY0I?t=6165
417,FAQ9-417,Le lierre de la connaissance est-il un décryptage ou une interprétation?,Le lierre de la connaissance est un décryptage et également une interprétation. Il est les deux à la fois.,https://youtu.be/9PSui6ZoY0I?t=6186
418,FAQ9-418,Puis-je être essoufflé en parcourant la grappe car cela demande un effort?,"Oui, tout à fait.",https://youtu.be/9PSui6ZoY0I?t=6197
419,FAQ9-419,Pouvez-vous confirmer que le lierre de la connaissance n'est pas uniquement français?,Je confirme que le lierre de la connaissance n'est pas uniquement français. Il peut même ne pas être du tout français.,https://youtu.be/9PSui6ZoY0I?t=6217
420,FAQ9-420,"Sur l’illustration cinq, sur la porte, s'agit-il du logo grande diagonale?","Sur l’illustration cinq, il s'agit d'un rond et d’un “T”. Voilà. Je n'ai pas d'autres détails à donner en tout cas sur la porte.",https://youtu.be/9PSui6ZoY0I?t=6230
421,FAQ9-421,"Le cachemire, le fer et la jade croisent-ils le lierre de la connaissance?",Très bonne question et la réponse est oui.,https://youtu.be/9PSui6ZoY0I?t=6240
422,FAQ9-422,Est-ce qu’avoir le vertige peut être un problème si l’on souhaite se rendre à la grappe?,Non.,https://youtu.be/9PSui6ZoY0I?t=6253
423,FAQ9-423,Le lierre pourrait-il être pur malté?,Non.,https://youtu.be/9PSui6ZoY0I?t=6257
424,FAQ9-424,"Quand vous dîtes que pour trouver la grappe il ne suffit que du texte de l'énigme une, cela veut-il dire qu'il n'y a pas de confirmation sur l'illustration une?",Il y a des éléments dans les visuels qui vous permettent tout de même de de confirmer que vous avez la bonne grappe. Mais elle peut être trouvée uniquement avec l'énigme une textuelle.,https://youtu.be/9PSui6ZoY0I?t=6261
425,FAQ9-425,"Auriez-vous pu remplacer le cachemire, le jade et le fer par du coton, de l'ivoire et du plomb?",Non.,https://youtu.be/9PSui6ZoY0I?t=6282
426,FAQ9-426,Il semblerait qu'il y ait au moins trois lieux intéressants sur le lierre de la connaissance. Dois-je en chercher d'autres?,"Je brûle d'envie de vous répondre mais je ne peux pas sur cet élément trop précis et donc je vous invite, si vous pensez qu'il y en a d'autres, à les chercher. Mais je ne pourrais pas vous dire si c'est la bonne piste ou non.",https://youtu.be/9PSui6ZoY0I?t=6287
427,FAQ9-427,"Pourrais-je implanter, voire essaimer le lierre?","Non, pas vraiment.",https://youtu.be/9PSui6ZoY0I?t=6321
428,FAQ9-428,RC vit-il près du visuel quatre?,"Alors RC n’est pas forcément une personne, et je ne peux pas vous dire si il vit près du visuel quatre.",https://youtu.be/9PSui6ZoY0I?t=6327
429,FAQ9-429,"Le moyen mnémotechnique suivant a-t-il un sens dans la chasse: ""Sur une racine de la bruyère, une corneille boit l’eau de la fontaine Molière""?","Non, malheureusement, bien que c'est un joli moyen mnémotechnique. C'est une belle maxime. Mais non, elle n'aurait pas forcément sa place dans l'Élixir.",https://youtu.be/9PSui6ZoY0I?t=6383
